page_url,target,occurrence_index,original_text,corrected_text,source_file,status
/a-deep-dive-into-the-23-7-sfcc-release/,/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release/,1,Click here,Read the 23.6 release notes,migration/output/content/posts/a-deep-dive-into-the-23-7-sfcc-release.md,applied
/a-deep-dive-into-the-23-7-sfcc-release/,https://developer.salesforce.com/docs/commerce/pwa-kit-managed-runtime/guide/managed-runtime-administration.html#environment-variables,1,here,in the Managed Runtime environment variables guide,migration/output/content/posts/a-deep-dive-into-the-23-7-sfcc-release.md,applied
/a-deep-dive-into-the-23-7-sfcc-release/,https://github.com/SalesforceCommerceCloud/social_channel_integrations,1,here,from the Social Channel Integrations repository,migration/output/content/posts/a-deep-dive-into-the-23-7-sfcc-release.md,applied
/a-look-at-the-23-9-commerce-cloud-release/,/what-is-new-in-the-23-8-commerce-cloud-release/,1,Click here,Read the 23.8 release notes,migration/output/content/posts/a-look-at-the-23-9-commerce-cloud-release.md,applied
/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release/,/a-look-at-the-sfcc-23-5-release/,1,Click here,Read the 23.5 release notes,migration/output/content/posts/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release.md,applied
/a-look-at-the-sfcc-23-5-release/,/everything-new-in-sfcc-23-4/,1,Click here,Read the 23.4 release notes,migration/output/content/posts/a-look-at-the-sfcc-23-5-release.md,applied
/b2c-commerce-whats-new-in-22-4/,https://help.salesforce.com/s/articleView?id=rn_b2c_rn_22_4_release.htm&type=5&language=en_US,1,here,for April 2022,migration/output/content/posts/b2c-commerce-whats-new-in-22-4.md,applied
/b2c-commerce-whats-new-in-the-22-3-release/,https://help.salesforce.com/s/articleView?id=rn_b2c_rn_22_3_release.htm&type=5&language=en_US,1,here,for March 2022,migration/output/content/posts/b2c-commerce-whats-new-in-the-22-3-release.md,applied
/caching-in-the-sfcc-composable-storefront/,https://developer.salesforce.com/docs/commerce/commerce-api/guide/server-side-web-tier-caching.html,1,here,in the server-side web-tier caching guide,migration/output/content/posts/caching-in-the-sfcc-composable-storefront.md,applied
/creating-custom-ocapi-endpoints/,https://github.com/taurgis/ocapi-custom-endpoints,1,here,in the OCAPI custom endpoints example repository,migration/output/content/posts/creating-custom-ocapi-endpoints.md,applied
/delta-exports-in-salesforce-b2c-commerce-cloud/,https://documentation.b2c.commercecloud.salesforce.com/DOC1/topic/com.demandware.dochelp/content/b2c_commerce/topics/import_export/b2c_delta_exports.html,1,here,in the Delta Exports documentation,migration/output/content/posts/delta-exports-in-salesforce-b2c-commerce-cloud.md,applied
/digging-into-the-b2c-commerce-cloud-24-3-release/,/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/,1,Click here,Read the 24.2 release notes,migration/output/content/posts/digging-into-the-b2c-commerce-cloud-24-3-release.md,applied
/everything-new-in-sfcc-23-4/,/salesforce-b2c-commerce-cloud-23-3-release/,1,Click here,Read the 23.3 release notes,migration/output/content/posts/everything-new-in-sfcc-23-4.md,applied
/getting-secured-with-the-24-5-salesforce-b2c-commerce-cloud-release/,/getting-to-know-the-sfcc-24-4-release/,1,Click here,Read the 24.4 release notes,migration/output/content/posts/getting-secured-with-the-24-5-salesforce-b2c-commerce-cloud-release.md,applied
/getting-to-know-sfra-as-a-developer/,/how-to-get-a-salesforce-b2c-commerce-cloud-sandbox/,1,here,in this guide to getting your sandbox,migration/output/content/posts/getting-to-know-sfra-as-a-developer.md,applied
/getting-to-know-the-sfcc-24-4-release/,/digging-into-the-b2c-commerce-cloud-24-3-release/,1,Click here,Read the 24.3 release notes,migration/output/content/posts/getting-to-know-the-sfcc-24-4-release.md,applied
/getting-to-know-the-sfcc-24-4-release/,https://developer.salesforce.com/docs/commerce/commerce-api/guide/custom-apis.html,1,here,in the Custom APIs guide,migration/output/content/posts/getting-to-know-the-sfcc-24-4-release.md,applied
/how-to-get-a-salesforce-b2c-commerce-cloud-sandbox/,https://partners.salesforce.com/pdx/s/learn/article/isv-b2c-commerce-MCDSZA63SNTNCRRBPDZX3PU7OGWI?language=en_US,1,here,at the partner program overview,migration/output/content/posts/how-to-get-a-salesforce-b2c-commerce-cloud-sandbox.md,applied
/how-to-set-up-the-ecdn-in-sfcc-staging/,https://help.salesforce.com/s/articleView?id=sf.rn_b2c_rn_configure_ecdn_for_staging_in_bm.htm&type=5,1,here,in the staging eCDN Business Manager release note,migration/output/content/posts/how-to-set-up-the-ecdn-in-sfcc-staging.md,applied
/mail-attachments-in-b2c-commerce-cloud/,https://github.com/taurgis/salesforce-commerce-cloud-libraries/blob/master/cartridges/plugin_testlibraries/cartridge/controllers/jsPDF.js,1,here,in the jsPDF attachment controller example,migration/output/content/posts/mail-attachments-in-b2c-commerce-cloud.md,applied
/salesforce-b2c-commerce-cloud-22-10/,/salesforce-b2c-commerce-cloud-22-9-release/,1,Click here,Read the 22.9 release notes,migration/output/content/posts/salesforce-b2c-commerce-cloud-22-10.md,applied
/salesforce-b2c-commerce-cloud-22-10/,https://github.com/SalesforceCommerceCloud/social_channel_integrations,1,here,from the Social Channel Integrations repository,migration/output/content/posts/salesforce-b2c-commerce-cloud-22-10.md,applied
/salesforce-b2c-commerce-cloud-22-8/,/salesforce-b2c-commerce-cloud-the-22-7-release/,1,Click here,Read the 22.7 release notes,migration/output/content/posts/salesforce-b2c-commerce-cloud-22-8.md,applied
/salesforce-b2c-commerce-cloud-22-8/,https://github.com/SalesforceCommerceCloud/pwa-kit/releases/tag/v2.1.0,1,here,in the PWA Kit v2.1.0 release notes,migration/output/content/posts/salesforce-b2c-commerce-cloud-22-8.md,applied
/salesforce-b2c-commerce-cloud-22-9-release/,/salesforce-b2c-commerce-cloud-22-8/,1,Click here,Read the 22.8 release notes,migration/output/content/posts/salesforce-b2c-commerce-cloud-22-9-release.md,applied
/salesforce-b2c-commerce-cloud-23-1/,/salesforce-b2c-commerce-cloud-22-10/,1,Click here,Read the 22.10 release notes,migration/output/content/posts/salesforce-b2c-commerce-cloud-23-1.md,applied
/salesforce-b2c-commerce-cloud-23-1/,https://github.com/SalesforceCommerceCloud/pwa-kit/releases/tag/v2.4.0,1,here,in the PWA Kit v2.4.0 release notes,migration/output/content/posts/salesforce-b2c-commerce-cloud-23-1.md,applied
/salesforce-b2c-commerce-cloud-23-10-release-a-comprehensive-overview/,/a-look-at-the-23-9-commerce-cloud-release/,1,Click here,Read the 23.9 release notes,migration/output/content/posts/salesforce-b2c-commerce-cloud-23-10-release-a-comprehensive-overview.md,applied
/salesforce-b2c-commerce-cloud-23-2/,/salesforce-b2c-commerce-cloud-23-1/,1,Click here,Read the 23.1 release notes,migration/output/content/posts/salesforce-b2c-commerce-cloud-23-2.md,applied
/salesforce-b2c-commerce-cloud-23-3-release/,/salesforce-b2c-commerce-cloud-23-2/,1,Click here,Read the 23.2 release notes,migration/output/content/posts/salesforce-b2c-commerce-cloud-23-3-release.md,applied
/salesforce-b2c-commerce-cloud-23-3-release/,https://github.com/SalesforceCommerceCloud/plugin_commercepayments,1,here,on GitHub,migration/output/content/posts/salesforce-b2c-commerce-cloud-23-3-release.md,applied
/salesforce-b2c-commerce-cloud-november-2022-updates/,https://github.com/SalesforceCommerceCloud/b2c-tools/compare/v0.13.2...v0.13.3,1,here,in the b2c-tools v0.13.2 to v0.13.3 comparison,migration/output/content/posts/salesforce-b2c-commerce-cloud-november-2022-updates.md,applied
/salesforce-b2c-commerce-cloud-the-22-7-release/,/salesforce-b2c-commerce-the-22-6-release/,1,Click here,Read the 22.6 release notes,migration/output/content/posts/salesforce-b2c-commerce-cloud-the-22-7-release.md,applied
/salesforce-b2c-commerce-cloud-the-22-7-release/,https://help.salesforce.com/s/articleView?id=sf.rn_b2c_OCAPI_order_export_mc.htm&type=5,1,here,in the order export encryption update notes,migration/output/content/posts/salesforce-b2c-commerce-cloud-the-22-7-release.md,applied
/salesforce-b2c-commerce-the-22-5-release/,/b2c-commerce-whats-new-in-22-4/,1,Click here,Read the 22.4 release notes,migration/output/content/posts/salesforce-b2c-commerce-the-22-5-release.md,applied
/salesforce-b2c-commerce-the-22-5-release/,https://developer.salesforce.com/docs/commerce/commerce-api/references?meta=shopper-context:Summary,1,here,in the Shopper Context API reference,migration/output/content/posts/salesforce-b2c-commerce-the-22-5-release.md,applied
/sending-emails-from-sfcc/,https://help.salesforce.com/s/articleView?id=000391416&type=1,1,here,in the Salesforce SPF setup guide,migration/output/content/posts/sending-emails-from-sfcc.md,applied
/sfcc-24-1-release-a-new-year-update/,/salesforce-b2c-commerce-cloud-23-10-release-a-comprehensive-overview/,1,Click here,Read the 23.10 release notes,migration/output/content/posts/sfcc-24-1-release-a-new-year-update.md,applied
/sfcc-basket-order-erd/,/salesforce-b2c-commerce-cloud-erd/,1,list,ERD overview page,migration/output/content/posts/sfcc-basket-order-erd.md,applied
/sfcc-basket-order-erd/,/salesforce-b2c-commerce-cloud-erd/,2,another ERD,the ERD overview page,migration/output/content/posts/sfcc-basket-order-erd.md,applied
/sfcc-basket-order-erd/,/salesforce-b2c-commerce-cloud-erd/,3,here,there on the ERD overview page,migration/output/content/posts/sfcc-basket-order-erd.md,applied
/taming-the-beast-a-developers-deep-dive-into-sfcc-meta-tag-rules/,https://dev.to/bolt04/how-to-use-the-seo-meta-tag-rules-module-for-page-designer-in-sfcc-20i8,1,here,in the Page Designer meta tag workaround article,migration/output/content/posts/taming-the-beast-a-developers-deep-dive-into-sfcc-meta-tag-rules.md,applied
/the-latest-in-sfcc-version-24-7/,/what-is-new-in-sfcc-24-6/,1,Click here,Read the 24.6 release notes,migration/output/content/posts/the-latest-in-sfcc-version-24-7.md,applied
/trailblazerdx-2022-for-b2c-commerce/,https://trailhead.salesforce.com/trailblazer-community/feed/0D54S00000FUYl1SAH,1,here,through the Trailblazer Community thread,migration/output/content/posts/trailblazerdx-2022-for-b2c-commerce.md,applied
/what-is-new-in-sfcc-24-6/,/getting-secured-with-the-24-5-salesforce-b2c-commerce-cloud-release/,1,Click here,Read the 24.5 release notes,migration/output/content/posts/what-is-new-in-sfcc-24-6.md,applied
/what-is-new-in-the-23-8-commerce-cloud-release/,/salesforce-b2c-commerce-the-22-6-release/,1,Click here,Read the 22.6 release notes,migration/output/content/posts/what-is-new-in-the-23-8-commerce-cloud-release.md,applied
/what-is-the-ocapi-session-bridge/,https://developer.salesforce.com/docs/commerce/commerce-api/guide/slas-session-bridge-auth.html?q=session%20bridge,1,here,in the SLAS Session Bridge guide,migration/output/content/posts/what-is-the-ocapi-session-bridge.md,applied
/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/,/#steptypes,1,,see the steptypes example,migration/output/content/posts/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud.md,unmatched
