gate_name,script,status,blocking_threshold,run_started_utc,run_finished_utc,commit_sha,actions_run_url,report_path,notes
Metadata completeness,npm run check:metadata,pass,0 blocking metadata errors,2026-03-13T12:59:06Z,2026-03-13T13:02:44Z,d7cb968caf37bf1b5ac1066c35c32e637a26cfe1,https://github.com/taurgis/rhino-inquisitor-com/actions/runs/23051490605,migration/reports/phase-5-metadata-report.csv,Validated 215 indexable pages with 10 warning-only duplicate metadata advisories and 0 blocking failures.
Redirect integrity,npm run check:redirects:seo,pass,0 chains; 0 loops; 0 broad redirects,2026-03-13T12:59:06Z,2026-03-13T13:02:44Z,d7cb968caf37bf1b5ac1066c35c32e637a26cfe1,https://github.com/taurgis/rhino-inquisitor-com/actions/runs/23051490605,migration/reports/phase-5-redirect-validation.csv,Checked 1017 redirect rows with 0 failures; indexed URL change rate 41.96 percent (141 of 336) keeps edge redirects mandatory before launch.
Crawl controls,npm run check:crawl-controls,pass,0 unintended noindex defects; 0 robots or noindex contradictions,2026-03-13T12:59:06Z,2026-03-13T13:02:44Z,d7cb968caf37bf1b5ac1066c35c32e637a26cfe1,https://github.com/taurgis/rhino-inquisitor-com/actions/runs/23051490605,migration/reports/phase-5-crawl-control-audit.csv,Validated 223 HTML routes in production mode with 0 blocking defects.
Sitemap validation,npm run check:sitemap,pass,0 host mismatch defects; 0 excluded URL defects,2026-03-13T12:59:06Z,2026-03-13T13:02:44Z,d7cb968caf37bf1b5ac1066c35c32e637a26cfe1,https://github.com/taurgis/rhino-inquisitor-com/actions/runs/23051490605,migration/reports/phase-5-sitemap-audit.csv,Validated 215 sitemap URLs with canonical-host alignment.
Schema validation,npm run check:schema,pass,0 critical required-property or type errors,2026-03-13T12:59:06Z,2026-03-13T13:02:44Z,d7cb968caf37bf1b5ac1066c35c32e637a26cfe1,https://github.com/taurgis/rhino-inquisitor-com/actions/runs/23051490605,migration/reports/phase-5-schema-audit.csv,Validated 223 built HTML pages with 0 critical schema defects.
Internal links,npm run check:internal-links,pass,0 blocking internal-link or orphan defects on critical templates,2026-03-13T12:59:06Z,2026-03-13T13:02:44Z,d7cb968caf37bf1b5ac1066c35c32e637a26cfe1,https://github.com/taurgis/rhino-inquisitor-com/actions/runs/23051490605,migration/reports/phase-5-internal-links-audit.csv,Validated 223 HTML pages with 0 blocking findings and 20 warning-only findings retained for later editorial or non-HTML follow-up.
Image and media SEO,npm run check:images,pass,0 broken image refs; 0 missing alt text on non-decorative images,2026-03-13T12:59:06Z,2026-03-13T13:02:44Z,d7cb968caf37bf1b5ac1066c35c32e637a26cfe1,https://github.com/taurgis/rhino-inquisitor-com/actions/runs/23051490605,migration/reports/phase-5-image-audit.csv,Validated 1734 audit rows with 0 blocking defects and 1 warning-only SVG intrinsic-size advisory.
Accessibility SEO,npm run check:a11y:seo,pass,0 WCAG Level A violations on representative templates,2026-03-13T12:59:06Z,2026-03-13T13:02:44Z,d7cb968caf37bf1b5ac1066c35c32e637a26cfe1,https://github.com/taurgis/rhino-inquisitor-com/actions/runs/23051490605,migration/reports/phase-5-accessibility-audit.md,Representative homepage article category and policy-page audit passed 4 of 4 URLs.
Pages constraints,npm run check:pages-constraints,pass,artifact below 800 MB gate budget and 1 GB Pages limit; 0 symbolic links,2026-03-13T12:59:06Z,2026-03-13T13:02:44Z,d7cb968caf37bf1b5ac1066c35c32e637a26cfe1,https://github.com/taurgis/rhino-inquisitor-com/actions/runs/23051490605,migration/reports/phase-5-pages-constraints-report.md,Current public artifact is 85.59 MB with 1870 files 239 directories 140 merge records and 0 symbolic or hard links.
Performance,npm run check:perf,pass,Lighthouse assertions satisfied on representative templates,2026-03-13T12:59:06Z,2026-03-13T13:02:44Z,d7cb968caf37bf1b5ac1066c35c32e637a26cfe1,https://github.com/taurgis/rhino-inquisitor-com/actions/runs/23051490605,tmp/lhci,Representative Lighthouse run passed with performance scores of 100 on homepage 100 on article and 98 on category plus accessibility 100 on all sampled pages.