route,file_path,template_family,schema_types,video_eligible,status,severity,findings
/20-years-of-dreamforce/,public/20-years-of-dreamforce/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/404.html,public/404.html,404,,no,pass,none,
/a-beginners-guide-to-webdav-in-sfcc/,public/a-beginners-guide-to-webdav-in-sfcc/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/a-deep-dive-into-the-23-7-sfcc-release/,public/a-deep-dive-into-the-23-7-sfcc-release/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/a-dev-guide-to-combating-fraud-on-sfcc/,public/a-dev-guide-to-combating-fraud-on-sfcc/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/a-look-at-the-23-9-commerce-cloud-release/,public/a-look-at-the-23-9-commerce-cloud-release/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release/,public/a-look-at-the-salesforce-b2c-commerce-cloud-23-6-release/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/,public/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/a-look-at-the-sfcc-23-5-release/,public/a-look-at-the-sfcc-23-5-release/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/a-look-back-at-origin-shielding/,public/a-look-back-at-origin-shielding/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/a-new-commerce-cloud-community-in-town/,public/a-new-commerce-cloud-community-in-town/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/a-new-day-for-commerce-recap/,public/a-new-day-for-commerce-recap/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/a-survival-guide-to-sfcc-platform-limits/,public/a-survival-guide-to-sfcc-platform-limits/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/about/,public/about/index.html,page,BreadcrumbList,no,pass,none,
/ai-as-an-architect-and-content-creator/,public/ai-as-an-architect-and-content-creator/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/ai-automation-to-augmentation-at-work/,public/ai-automation-to-augmentation-at-work/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/ai-einstein-in-salesforce-b2c-commerce-cloud/,public/ai-einstein-in-salesforce-b2c-commerce-cloud/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/ai-wont-steal-your-sfcc-job-but-a-developer-using-ai-will/,public/ai-wont-steal-your-sfcc-job-but-a-developer-using-ai-will/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/an-overview-of-sfcc-global-functions/,public/an-overview-of-sfcc-global-functions/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/archive/,public/archive/index.html,page,BreadcrumbList,no,pass,none,
/b2c-commerce-cloud-campaign-erd/,public/b2c-commerce-cloud-campaign-erd/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/b2c-commerce-whats-new-in-22-4/,public/b2c-commerce-whats-new-in-22-4/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/b2c-commerce-whats-new-in-the-22-3-release/,public/b2c-commerce-whats-new-in-the-22-3-release/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/caching-in-the-sfcc-composable-storefront/,public/caching-in-the-sfcc-composable-storefront/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/caching-rest-apis-in-sfcc/,public/caching-rest-apis-in-sfcc/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/can-a-isslot-element-have-a-dynamic-id/,public/can-a-isslot-element-have-a-dynamic-id/index.html,page,BreadcrumbList,no,pass,none,
/category/ai/,public/category/ai/index.html,term,BreadcrumbList,no,pass,none,
/category/architecture/,public/category/architecture/index.html,term,BreadcrumbList,no,pass,none,
/category/certification/,public/category/certification/index.html,term,BreadcrumbList,no,pass,none,
/category/community/,public/category/community/index.html,term,BreadcrumbList,no,pass,none,
/category/corporate/,public/category/corporate/index.html,term,BreadcrumbList,no,pass,none,
/category/documentation/,public/category/documentation/index.html,term,BreadcrumbList,no,pass,none,
/category/erd/,public/category/erd/index.html,term,BreadcrumbList,no,pass,none,
/category/external/,public/category/external/index.html,term,BreadcrumbList,no,pass,none,
/category/go-live/,public/category/go-live/index.html,term,BreadcrumbList,no,pass,none,
/category/,public/category/index.html,taxonomy,BreadcrumbList,no,pass,none,
/category/linkedin/,public/category/linkedin/index.html,term,BreadcrumbList,no,pass,none,
/category/platform/,public/category/platform/index.html,term,BreadcrumbList,no,pass,none,
/category/podcasts/,public/category/podcasts/index.html,term,BreadcrumbList,no,pass,none,
/category/react/,public/category/react/index.html,term,BreadcrumbList,no,pass,none,
/category/release-notes/,public/category/release-notes/index.html,term,BreadcrumbList,no,pass,none,
/category/salesforce-architects-blog/,public/category/salesforce-architects-blog/index.html,term,BreadcrumbList,no,pass,none,
/category/salesforce-ben/,public/category/salesforce-ben/index.html,term,BreadcrumbList,no,pass,none,
/category/salesforce-commerce-cloud/,public/category/salesforce-commerce-cloud/index.html,term,BreadcrumbList,no,pass,none,
/category/salesforce-platform/,public/category/salesforce-platform/index.html,term,BreadcrumbList,no,pass,none,
/category/sessions/,public/category/sessions/index.html,term,BreadcrumbList,no,pass,none,
/category/technical/,public/category/technical/index.html,term,BreadcrumbList,no,pass,none,
/category/uncategorized/,public/category/uncategorized/index.html,term,BreadcrumbList,no,pass,none,
/category/video/,public/category/video/index.html,term,BreadcrumbList,no,pass,none,
/certifications-for-salesforce-b2c-commerce-cloud/,public/certifications-for-salesforce-b2c-commerce-cloud/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/,public/chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/commerce-cloud-t-shirts-on-shirtforce/,public/commerce-cloud-t-shirts-on-shirtforce/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/community-repositories/,public/community-repositories/index.html,page,BreadcrumbList,no,pass,none,
/community-salesforce-events-and-commerce-cloud/,public/community-salesforce-events-and-commerce-cloud/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/connecting-the-clouds-wedding-or-funeral/,public/connecting-the-clouds-wedding-or-funeral/index.html,page,BreadcrumbList,no,pass,none,
/cookie-policy-eu/,public/cookie-policy-eu/index.html,page,BreadcrumbList,no,pass,none,
/creating-custom-ocapi-endpoints/,public/creating-custom-ocapi-endpoints/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/custom-preferences-in-sfcc/,public/custom-preferences-in-sfcc/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/custom-ttf-fonts-in-pdf-for-sfcc/,public/custom-ttf-fonts-in-pdf-for-sfcc/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/delta-exports-in-salesforce-b2c-commerce-cloud/,public/delta-exports-in-salesforce-b2c-commerce-cloud/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/delta-exports-in-salesforce-b2c-commerce/,public/delta-exports-in-salesforce-b2c-commerce/index.html,redirect-helper,,no,pass,none,
/digging-into-the-b2c-commerce-cloud-24-3-release/,public/digging-into-the-b2c-commerce-cloud-24-3-release/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/events-and-the-golden-hoodie/,public/events-and-the-golden-hoodie/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/everything-new-in-sfcc-23-4/,public/everything-new-in-sfcc-23-4/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/feed/atom/,public/feed/atom/index.html,redirect-helper,,no,pass,none,
/feed/,public/feed/index.html,redirect-helper,,no,pass,none,
/feed/rss/,public/feed/rss/index.html,redirect-helper,,no,pass,none,
/fetching-data-in-a-locale-with-sfcc/,public/fetching-data-in-a-locale-with-sfcc/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/field-guide-to-custom-caches-in-sfcc/,public/field-guide-to-custom-caches-in-sfcc/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/get-connected-at-salesforce-connections-2022/,public/get-connected-at-salesforce-connections-2022/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/getting-secured-with-the-24-5-salesforce-b2c-commerce-cloud-release/,public/getting-secured-with-the-24-5-salesforce-b2c-commerce-cloud-release/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/getting-to-know-sfra-as-a-developer/,public/getting-to-know-sfra-as-a-developer/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/getting-to-know-the-sfcc-24-4-release/,public/getting-to-know-the-sfcc-24-4-release/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/guide-to-the-getprops-method-in-sfcc/,public/guide-to-the-getprops-method-in-sfcc/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/headless/,public/headless/index.html,page,BreadcrumbList,no,pass,none,
/helpful-salesforce-b2c-commerce-cloud-cartridges/,public/helpful-salesforce-b2c-commerce-cloud-cartridges/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/helpful-salesforce-b2c-commerce-cloud-cli-tools/,public/helpful-salesforce-b2c-commerce-cloud-cli-tools/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/how-to-change-the-code-compatibility-mode-in-salesforce-b2c-commerce-cloud/,public/how-to-change-the-code-compatibility-mode-in-salesforce-b2c-commerce-cloud/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud/,public/how-to-extend-active-data-in-salesforce-b2c-commerce-cloud/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/how-to-filter-jsdoc-in-storybook-autodocs/,public/how-to-filter-jsdoc-in-storybook-autodocs/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/how-to-get-a-salesforce-b2c-commerce-cloud-sandbox/,public/how-to-get-a-salesforce-b2c-commerce-cloud-sandbox/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/how-to-get-salesforce-certification-vouchers/,public/how-to-get-salesforce-certification-vouchers/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/how-to-load-client-side-javascript-and-css-in-sfra/,public/how-to-load-client-side-javascript-and-css-in-sfra/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/how-to-set-up-slas-for-the-composable-storefront/,public/how-to-set-up-slas-for-the-composable-storefront/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/how-to-set-up-the-ecdn-for-staging-in-salesforce-b2c-commerce-cloud/,public/how-to-set-up-the-ecdn-for-staging-in-salesforce-b2c-commerce-cloud/index.html,redirect-helper,,no,pass,none,
/how-to-set-up-the-ecdn-in-sfcc-staging/,public/how-to-set-up-the-ecdn-in-sfcc-staging/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/how-to-setup-oauth-jwt-for-the-ocapi/,public/how-to-setup-oauth-jwt-for-the-ocapi/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/how-to-use-node-18-with-sfra/,public/how-to-use-node-18-with-sfra/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/how-to-use-ocapi-scapi-hooks/,public/how-to-use-ocapi-scapi-hooks/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/ideas/,public/ideas/index.html,page,BreadcrumbList,no,pass,none,
/ideas/page-designer-add-ability-to-copy-paste-components/,public/ideas/page-designer-add-ability-to-copy-paste-components/index.html,page,BreadcrumbList,no,pass,none,
/ideas/page-designer-dynamic-pages-optional-subcategories/,public/ideas/page-designer-dynamic-pages-optional-subcategories/index.html,page,BreadcrumbList,no,pass,none,
/image-ine-sfcc-dis-for-developers/,public/image-ine-sfcc-dis-for-developers/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/in-the-ring-ocapi-versus-scapi/,public/in-the-ring-ocapi-versus-scapi/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/,public/index.html,homepage,WebSite,no,pass,none,
/inside-the-ohana/,public/inside-the-ohana/index.html,page,BreadcrumbList,no,pass,none,
/is-salesforce-certification-worth-it/,public/is-salesforce-certification-worth-it/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/it-sure-has-been-quiet-on-this-blog/,public/it-sure-has-been-quiet-on-this-blog/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/kickstart-guide-for-new-sfcc-developers/,public/kickstart-guide-for-new-sfcc-developers/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/lag-to-riches-a-pwa-kit-developers-guide/,public/lag-to-riches-a-pwa-kit-developers-guide/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/lets-go-live-customer-migration/,public/lets-go-live-customer-migration/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/lets-go-live-ecdn/,public/lets-go-live-ecdn/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/lets-go-live-seo/,public/lets-go-live-seo/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/leveraging-generic-mappings-in-sfcc/,public/leveraging-generic-mappings-in-sfcc/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/life-is-about-choices/,public/life-is-about-choices/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/life-with-goldie/,public/life-with-goldie/index.html,page,BreadcrumbList,no,pass,none,
/local-vs-shared-variation-attributes-sfcc/,public/local-vs-shared-variation-attributes-sfcc/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/mail-attachments-in-b2c-commerce-cloud/,public/mail-attachments-in-b2c-commerce-cloud/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/,public/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/mastering-sitemaps-in-sfcc/,public/mastering-sitemaps-in-sfcc/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/me-myself-and-headless-a-composable-commerce-cloud-story/,public/me-myself-and-headless-a-composable-commerce-cloud-story/index.html,page,BreadcrumbList,no,pass,none,
/migrate-magento-passwords-using-argon2/,public/migrate-magento-passwords-using-argon2/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
/navigating-dates-calendars-in-sfcc/,public/navigating-dates-calendars-in-sfcc/index.html,article,BlogPosting|BreadcrumbList,no,pass,none,
