legacy_url,target_url,intent_class,review_status,reviewer,notes
/?p=10100,/chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /chasing-clouds-catching-up-with-the-commercecrew-at-dreamforce-2023/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=1011,/preparing-for-the-b2c-commerce-developer-certification/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /preparing-for-the-b2c-commerce-developer-certification/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=10175,/salesforce-b2c-commerce-cloud-23-10-release-a-comprehensive-overview/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /salesforce-b2c-commerce-cloud-23-10-release-a-comprehensive-overview/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=10453,/new-apis-and-features-for-a-headless-sfcc/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /new-apis-and-features-for-a-headless-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=10508,/slicing-versus-variation-groups-in-sfcc/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /slicing-versus-variation-groups-in-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=10587,/leveraging-generic-mappings-in-sfcc/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /leveraging-generic-mappings-in-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=1061,/is-salesforce-certification-worth-it/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /is-salesforce-certification-worth-it/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=10642,/mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /mastering-chunk-oriented-job-steps-in-salesforce-b2c-commerce-cloud/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=10683,/why-circumventing-sfcc-quota-limits-is-a-bad-idea/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /why-circumventing-sfcc-quota-limits-is-a-bad-idea/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=1077,/video/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /video/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving page; the destination is not a convenience redirect to a generic hub. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=11082,/sfcc-24-1-release-a-new-year-update/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /sfcc-24-1-release-a-new-year-update/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=11181,/understanding-locale-fallback-in-sfcc/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /understanding-locale-fallback-in-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=1124,/server-side-performance-in-sfcc/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /server-side-performance-in-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=11255,/a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /a-look-at-the-salesforce-b2c-commerce-cloud-24-2-release/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=11362,/the-attribute-fallback-system-in-sfcc/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /the-attribute-fallback-system-in-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=11566,/digging-into-the-b2c-commerce-cloud-24-3-release/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /digging-into-the-b2c-commerce-cloud-24-3-release/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=1161,/the-move-from-on-site-to-remote/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /the-move-from-on-site-to-remote/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=11627,/reflecting-on-2-years-of-blogging/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /reflecting-on-2-years-of-blogging/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=11658,/in-the-ring-ocapi-versus-scapi/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /in-the-ring-ocapi-versus-scapi/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=11710,/migrate-magento-passwords-using-argon2/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /migrate-magento-passwords-using-argon2/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=11734,/getting-to-know-the-sfcc-24-4-release/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /getting-to-know-the-sfcc-24-4-release/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=11813,/getting-secured-with-the-24-5-salesforce-b2c-commerce-cloud-release/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /getting-secured-with-the-24-5-salesforce-b2c-commerce-cloud-release/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=11871,/salesforce-connections-2024-and-sfcc/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /salesforce-connections-2024-and-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=11960,/what-is-new-in-sfcc-24-6/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /what-is-new-in-sfcc-24-6/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=12020,/the-latest-in-sfcc-version-24-7/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /the-latest-in-sfcc-version-24-7/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=1207,/lets-go-live-ecdn/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /lets-go-live-ecdn/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=12087,/it-sure-has-been-quiet-on-this-blog/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /it-sure-has-been-quiet-on-this-blog/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=12231,/caching-in-the-sfcc-composable-storefront/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /caching-in-the-sfcc-composable-storefront/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=12325,/should-i-use-sfra-rest-endpoints-in-a-composable-storefront/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /should-i-use-sfra-rest-endpoints-in-a-composable-storefront/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=12372,/the-importance-of-origin-shielding/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /the-importance-of-origin-shielding/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=12435,/swc-and-storybook-error-failed-to-load-native-binding/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /swc-and-storybook-error-failed-to-load-native-binding/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=12459,/sfcc-introduction/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /sfcc-introduction/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=12535,/third-party-api-caching-in-commerce-cloud/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /third-party-api-caching-in-commerce-cloud/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=1265,/certifications-for-salesforce-b2c-commerce-cloud/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /certifications-for-salesforce-b2c-commerce-cloud/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=12739,/storefront-protection-in-the-pwa-kit/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /storefront-protection-in-the-pwa-kit/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=12775,/sending-emails-from-sfcc/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /sending-emails-from-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=12891,/local-vs-shared-variation-attributes-sfcc/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /local-vs-shared-variation-attributes-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=12947,/mastering-sitemaps-in-sfcc/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /mastering-sitemaps-in-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=12990,/lag-to-riches-a-pwa-kit-developers-guide/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /lag-to-riches-a-pwa-kit-developers-guide/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=1307,/salesforce-b2c-commerce-the-22-5-release/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /salesforce-b2c-commerce-the-22-5-release/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=13098,/ai-wont-steal-your-sfcc-job-but-a-developer-using-ai-will/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /ai-wont-steal-your-sfcc-job-but-a-developer-using-ai-will/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=13242,/image-ine-sfcc-dis-for-developers/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /image-ine-sfcc-dis-for-developers/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=133,/pdf-and-salesforce-commerce-cloud-b2c/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /pdf-and-salesforce-commerce-cloud-b2c/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=13311,/the-sfcc-guide-to-finding-pod-numbers/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /the-sfcc-guide-to-finding-pod-numbers/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
/?p=13328,/field-guide-to-custom-caches-in-sfcc/,exact-equivalent,approved,Thomas Theunen,Legacy URL redirects to /field-guide-to-custom-caches-in-sfcc/; map as merge without redirect chain. Model A exception: query-string source URLs are tracked in inventory but are not served by Hugo aliases at launch per RHI-062. RHI-064 review: Approved as exact-equivalent because this legacy WordPress query-string permalink resolves to the same surviving content item at its canonical Hugo path. Launch delivery remains an accepted RHI-062 query-string limitation under Model A.
